device_class,device_name,file_urls,files,firmware_version,release_date,vendor
PLC Adapter,TL-PA9020 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V2,27-06-2022,TP-Link
PLC Adapter,PG2400P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-WPA8730 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-WPA8631P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-WPA8631P,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-PA7027P KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-PA7017 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V4,27-06-2022,TP-Link
PLC Adapter,TL-WPA7519 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V1,27-06-2022,TP-Link
PLC Adapter,TL-WPA7517 KIT,https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202206/20220627/tpPLC_Uitility_2.3.4543.9_220620.zip', 'path': 'tpPLC_Uitility_2.3.4543.9_220620.zip', 'checksum': 'c875432b35a4034c044fe6849079e45a', 'status': 'uptodate'}]",V2,27-06-2022,TP-Link
PLC Adapter,PG1200 KIT,https://static.tp-link.com/upload/firmware/2022/202207/20220726/PG1200_V1_220511.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202207/20220726/PG1200_V1_220511.zip', 'path': 'PG1200_V1_220511.zip', 'checksum': 'e8f96e65ff1611d2c998f4224f84815a', 'status': 'uptodate'}]",V1,26-07-2022,TP-Link
Router,TL-WA901N,https://static.tp-link.com/upload/firmware/2022/202207/20220704/TL-WA901N(EU)_V6_220701.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202207/20220704/TL-WA901N(EU)_V6_220701.zip', 'path': 'TL-WA901N(EU)_V6_220701.zip', 'checksum': '1cd3c592e8fd50f4124261ab85f2d6bf', 'status': 'uptodate'}]",V6,04-07-2022,TP-Link
Router,TL-WA801N,https://static.tp-link.com/2020/202004/20200408/TL-WA801N(EU)_V6_200116.zip,"[{'url': 'https://static.tp-link.com/2020/202004/20200408/TL-WA801N(EU)_V6_200116.zip', 'path': 'TL-WA801N(EU)_V6_200116.zip', 'checksum': 'b9f39c6bfd9c5366c845eb16ee658551', 'status': 'uptodate'}]",V6,08-04-2020,TP-Link
Router,Archer C80,https://static.tp-link.com/upload/firmware/2022/202207/20220713/Archer C80(EU)_V2.2_220323.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202207/20220713/Archer%20C80(EU)_V2.2_220323.zip', 'path': 'Archer%20C80(EU)_V2.2_220323.zip', 'checksum': '11a6d400ba3f29f4035ad25762a3cf98', 'status': 'uptodate'}]",V2.20,13-07-2022,TP-Link
Router,TL-WA1201,https://static.tp-link.com/upload/firmware/2022/202203/20220329/TL-WA1201(EU)_V3_220118.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202203/20220329/TL-WA1201(EU)_V3_220118.zip', 'path': 'TL-WA1201(EU)_V3_220118.zip', 'checksum': '0b75cb8e2c2991fc8adc4fbddb5b3e20', 'status': 'uptodate'}]",V3,29-03-2022,TP-Link
Router,Archer A8,https://static.tp-link.com/upload/firmware/2022/202208/20220801/Archer A8(EU)_V2.20_220425.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220801/Archer%20A8(EU)_V2.20_220425.zip', 'path': 'Archer%20A8(EU)_V2.20_220425.zip', 'checksum': 'cd842985bfcb89083bc6293e8ed9d04c', 'status': 'uptodate'}]",V2.20,01-08-2022,TP-Link
Router,Archer AX53,https://static.tp-link.com/upload/firmware/2022/202208/20220802/Archer AX53(EU)_V1_220609.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220802/Archer%20AX53(EU)_V1_220609.zip', 'path': 'Archer%20AX53(EU)_V1_220609.zip', 'checksum': '2a43cd1805ef6d1ccf37d68f6daeeef6', 'status': 'uptodate'}]",V1,02-08-2022,TP-Link
Router,Archer AX10,https://static.tp-link.com/upload/firmware/2022/202204/20220429/Archer AX10(EU)_V1.2_220401.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202204/20220429/Archer%20AX10(EU)_V1.2_220401.zip', 'path': 'Archer%20AX10(EU)_V1.2_220401.zip', 'checksum': '3af91d7606830098fe50f9b93fea54ac', 'status': 'uptodate'}]",V1.20,29-04-2022,TP-Link
